epoch,training acc.,training loss,val. acc.,val. loss
1,0.5474,1.2911,0.9342,0.2325
2,0.9415,0.1944,0.9708,0.0974
3,0.9632,0.1262,0.9717,0.1031
4,0.9787,0.0712,0.9717,0.0877
5,0.9801,0.0761,0.975,0.0801
