epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.4349,1.4735,0.5543,1.0924
2 (high lr),0.7686,0.6011,0.6243,1.2334
3 (high lr),0.9341,0.1909,0.7829,0.6333
4 (high lr),0.964,0.106,0.8243,0.5778
5 (high lr),0.9443,0.1611,0.7743,0.723
1 (low lr),0.9841,0.0498,0.9129,0.2685
2 (low lr),0.9983,0.0093,0.9257,0.2516
3 (low lr),0.999,0.0051,0.9314,0.2344
4 (low lr),0.9989,0.0053,0.9114,0.2872
5 (low lr),0.9976,0.0074,0.9257,0.2895
