epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.4565,1.4193,0.5971,1.0289
2 (high lr),0.8025,0.51,0.7557,0.6971
3 (high lr),0.9408,0.1726,0.8057,0.5586
4 (high lr),0.9605,0.1197,0.7914,0.7172
5 (high lr),0.9302,0.1927,0.7986,0.5857
1 (low lr),0.9867,0.0396,0.9386,0.1771
2 (low lr),0.997,0.0123,0.9543,0.157
3 (low lr),0.9994,0.0037,0.95,0.1642
4 (low lr),0.9994,0.0023,0.9586,0.1306
5 (low lr),1,0.00040128,0.9629,0.1331
