epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.3908,1.4729,0.4814,1.2042
2 (high lr),0.7006,0.7327,0.6671,0.942
3 (high lr),0.909,0.2574,0.7771,0.7037
4 (high lr),0.9538,0.1276,0.6557,1.1836
5 (high lr),0.9376,0.1799,0.74,0.8776
1 (low lr),0.9865,0.0437,0.9343,0.202
2 (low lr),0.9983,0.0066,0.9371,0.2013
3 (low lr),0.9997,0.0017,0.9414,0.2195
4 (low lr),0.999,0.003,0.9429,0.213
5 (low lr),0.9997,0.00077956,0.9429,0.2128
