epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.347,1.4782,0.4386,1.2545
2 (high lr),0.5797,0.9657,0.6943,0.8518
3 (high lr),0.837,0.4346,0.7557,0.6527
4 (high lr),0.9425,0.1659,0.8314,0.4536
5 (high lr),0.9584,0.1263,0.7786,0.7181
1 (low lr),0.9843,0.049,0.9243,0.2076
2 (low lr),0.9978,0.0085,0.9271,0.2049
3 (low lr),0.9984,0.0055,0.93,0.1882
4 (low lr),0.9992,0.0033,0.9257,0.2423
5 (low lr),0.9973,0.0109,0.9229,0.2025
