epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.4252,1.6932,0.5929,1.0217
2 (high lr),0.7983,0.5178,0.7286,0.7384
3 (high lr),0.9533,0.1463,0.7486,0.7309
4 (high lr),0.9703,0.0917,0.6443,1.3697
5 (high lr),0.9317,0.2007,0.7143,0.8612
1 (low lr),0.977,0.0683,0.8986,0.3502
2 (low lr),0.9981,0.0087,0.8943,0.3794
3 (low lr),0.9992,0.0035,0.8986,0.3819
4 (low lr),1,0.00079943,0.9,0.3861
5 (low lr),0.9984,0.0067,0.8986,0.4131
