epoch,training acc.,training loss,val. acc.,val. loss
1 (high lr),0.4022,1.5366,0.5271,1.0352
2 (high lr),0.7449,0.6499,0.7671,0.5529
3 (high lr),0.9338,0.1991,0.8114,0.5723
4 (high lr),0.9544,0.1357,0.7729,0.749
5 (high lr),0.943,0.1593,0.7929,0.6619
1 (low lr),0.9848,0.0517,0.9386,0.2086
2 (low lr),0.9987,0.0065,0.9286,0.2339
3 (low lr),0.9998,0.0017,0.9271,0.2314
4 (low lr),0.9987,0.007,0.9157,0.302
5 (low lr),0.9987,0.0053,0.9343,0.2619
