Index,Name,Hex colour
0,a-0,d82400
1,a-1,d82400
2,a-2,d82400
3,a-3,fcfc00
4,a-4,fcfc00
5,a-5,fcfc00
6,a-6,48b455
7,a-7,48b455
8,a-8,48b455
9,a-9,0090aa
10,a-10,0090aa
11,a-11,0090aa
