Index,Name,Hex colour
0,c-0,d82400
1,c-1,d82400
2,c-2,d82400
3,c-3,fcfc00
4,c-4,fcfc00
5,c-5,fcfc00
6,c-6,48b455
7,c-7,48b455
8,c-8,48b455
9,c-9,0090aa
10,c-10,0090aa
11,c-11,0090aa
