width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,keypoint_15_x,keypoint_15_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,quality
138,69,140.5889,52.74179,179.62955,53.05434,176.62932,51.55166,195.95529,48.688877,179.10623,119.80102,192.0739,110.0697,190.27292,154.28925,164.86194,174.26114,147.70871,107.38463,149.6938,58.95574,5.0977135,1.7891636,2.5603123,2.4829793,3.480339,1.8127161,144.74689,141.43489,137.23111,111.17013,132.09653,78.45497,5.640586853027344,0.5233154,0.18575574883003432,-1.9850922,9.104904,60.845276,56.472763,5.1345825,7.5157776,0.6
148,162,135.89214,17.065151,115.64899,85.40561,190.56477,78.96744,215.2879,86.219086,134.33124,172.01787,182.03928,162.10294,176.75162,196.71655,132.85861,209.52133,71.82819,167.56902,51.423737,118.88351,4.289478,4.0476274,95.51831,28.221972,62.759506,8.666271,69.02163,184.26633,29.235926,212.50815,9.479777,199.22406,99.69833755493164,18.682251,1.3607420398301935,20.404457,-84.4684,53.13436,90.66154,19.75615,39.785706,0.6
46,50,71.99292,117.754295,133.10701,104.912636,142.50734,102.993835,179.19327,102.88206,141.90033,153.04364,162.42514,147.33177,153.64519,179.27596,135.87358,199.71152,98.531136,168.63672,89.63223,128.407,137.39633,50.93374,81.320946,40.25587,46.551968,12.994567,102.91435,177.61725,64.65249,172.76111,51.399326,142.09491,21.23717498779297,8.79332,0.039788028409216025,8.898903,17.639313,24.636642,88.15112,13.253162,38.261864,0.6
139,86,73.093094,14.279112,142.10146,12.206745,5.1930795,1.9911582,215.68134,9.373492,149.81903,72.844185,184.32527,66.24992,194.15628,128.8005,157.22906,159.44125,114.98652,98.54785,107.64052,41.305046,4.4511814,0.8392293,1.8214083,0.9439905,2.9463074,1.6297605,113.64753,104.429306,106.458405,83.0157,100.67053,52.077534,15.121206521987915,7.717575,0.29669645713802095,7.3460007,34.547424,31.539139,40.361057,5.7878723,7.189125,0.6
300,186,36.67554,116.4748,124.36565,87.79351,163.84442,78.46321,166.52,83.219925,121.05925,160.60617,155.7003,145.84737,148.6161,168.95905,129.20493,182.49,89.86388,173.39616,58.319492,144.0336,115.18154,24.14645,1.6449006,6.2850456,27.582703,29.767197,120.56324,185.9541,59.34864,206.17659,39.432735,172.60313,49.97386169433594,3.3063965,2.1214376843319513,31.544384,21.643951,16.57257,137.74855,19.915905,61.2146,0.6
113,64,45.607697,35.479748,103.001366,36.17306,126.23206,35.943977,126.31139,36.27147,112.51422,89.324745,121.04975,81.4075,129.88162,108.997475,112.70334,118.02851,87.05543,85.119286,79.22475,45.20414,2.1922755,1.5696809,2.7969222,2.1648235,3.9913168,1.4696733,93.56986,110.754395,71.1121,84.71142,62.672302,44.527817,1.0208053588867188,9.512856,0.8811150641783703,7.830681,33.61705,44.120605,43.039314,8.439796,22.457764,0.6
84,34,74.07707,61.190746,118.46461,65.9346,155.06253,52.098137,160.72548,52.098164,120.6344,143.48026,142.66866,97.51378,148.33556,156.13193,124.718445,189.75134,98.75279,145.38191,87.78589,95.54852,2.9988046,0.9733912,94.40657,14.13353,10.768211,1.6554953,104.61385,181.79774,84.027565,155.65257,78.751595,114.70488,22.929046630859375,2.1697922,0.670061962009175,10.966904,13.708817,47.931732,81.41499,5.2759705,20.586288,0.6
134,126,96.837234,35.069897,157.72955,36.80841,6.359026,2.9616067,206.81694,26.500103,141.95844,120.23227,183.61685,115.5152,168.71974,150.99117,106.35392,162.5643,81.04353,133.0405,79.31679,97.703545,2.9651723,1.0506214,3.0237134,2.6748111,2.6006598,1.2292622,91.05541,152.71881,39.065166,185.12881,26.156338,146.71356,44.746790170669556,15.771118,0.5348901596664726,1.7267456,-17.520447,22.528725,95.02873,12.908829,51.990246,0.6
95,65,167.2172,69.93333,191.16957,73.26936,191.9164,72.876625,195.58302,74.17431,188.53294,94.09762,199.20157,95.62918,192.79527,104.08378,184.03876,108.154434,176.67921,92.968735,174.37982,80.250336,192.41249,46.002113,165.08414,46.253693,164.21487,18.971815,177.98097,107.736694,165.90944,97.20375,153.2261,76.1558,5.260154724121094,2.6366272,0.42260481549536477,2.2993927,7.162628,13.847282,33.996643,12.683334,12.071533,0.6
140,78,50.293285,63.97593,118.320625,57.18196,149.09496,55.025597,160.29182,55.32828,125.203094,103.39818,143.02606,98.11352,140.31375,147.33446,124.37062,164.69818,95.63122,137.85666,85.22615,93.603096,122.98468,8.19244,83.43808,25.310526,61.784744,7.1434054,102.63345,153.55663,80.094894,139.5544,69.54605,106.46207,12.195972442626953,6.882469,0.23782118432227572,10.405067,34.932865,9.795082,68.29257,10.548843,22.538559,0.6
