Index,Name,Hex colour
0,d-0,d82400
1,d-1,d82400
2,d-2,d82400
3,d-3,fcfc00
4,d-4,fcfc00
5,d-5,fcfc00
6,d-6,48b455
7,d-7,48b455
8,d-8,48b455
9,d-9,0090aa
10,d-10,0090aa
11,d-11,0090aa
12,d-12,0090aa
13,d-13,0090aa
