Index,Name,Hex colour
0,i-0,d82400
1,i-1,d82400
2,i-2,d82400
3,i-3,fcfc00
4,i-4,fcfc00
5,i-5,fcfc00
6,i-6,48b455
7,i-7,fcfc00
8,i-8,fcfc00
9,i-9,48b455
10,i-10,fcfc00
