Index,Name,Hex colour
0,g-0,d82400
1,g-1,d82400
2,g-2,d82400
3,g-3,fcfc00
4,g-4,fcfc00
5,g-5,fcfc00
6,g-6,48b455
7,g-7,48b455
8,g-8,48b455
9,g-9,0090aa
10,g-10,0090aa
11,g-11,0090aa
12,g-12,0090aa
