Index,Name,Hex colour
0,j-0,d82400
1,j-1,d82400
2,j-2,d82400
3,j-3,fcfc00
4,j-4,fcfc00
5,j-5,fcfc00
6,j-6,48b455
7,j-7,fcfc00
8,j-8,fcfc00
9,j-9,48b455
10,j-10,fcfc00
11,j-11,fcfc00
