width,height,keypoint_0_x,keypoint_0_y,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,quality
189,111,121.32399,106.04335,126.72267,74.6935,142.41708,120.735016,143.64223,163.2725,124.88347,131.06998,108.7027,160.78775,82.07555,125.87404,170.90536,84.14817,154.94803,49.55558,93.832664,17.571545,131.17984,7.0284896,5.3986816,14.691666,1.2251434,32.20253,29.717773,-25.836034138997405,36.586838,32.890007,0.6
144,108,135.16682,126.94818,138.6083,106.130646,150.13153,152.04243,152.1319,205.20956,133.87367,176.91747,111.05062,190.80212,98.312035,156.78438,187.18695,116.430824,168.20816,87.93105,160.78639,53.156105,181.18423,31.463093,3.4414825,25.094254,2.0003662,28.292099,13.884659,-34.19200134277344,35.61161,-22.178085,0.6
161,111,97.72477,77.6393,115.396515,81.47808,113.44365,126.623314,94.81146,165.06639,87.12665,130.59732,60.02513,124.97624,48.63588,81.20002,147.40086,99.35547,154.22046,51.042442,164.65413,23.732256,176.35458,10.867657,17.671745,48.984016,18.632187,34.46907,-5.6210785,-59.01329803466797,27.267845,-49.257614,0.6
67,54,66.143074,91.56206,114.78383,47.117424,112.672714,98.341446,111.15408,158.18378,6.619853,0.79561275,58.653427,205.70409,43.57769,163.17957,182.56358,55.174816,162.38905,19.36156,0.80029273,0.1983322,159.71077,0.44133422,48.640755,6.7793884,1.518631,157.38817,204.90848,41.618408203125,43.166637,113.983536,0.6
160,100,90.911896,100.15631,106.45681,67.820145,123.306496,124.62959,123.21887,217.15846,88.20513,181.4878,30.833372,170.4432,18.587393,149.55049,155.66135,80.600235,121.609116,28.802061,2.1682222,1.8076637,49.35804,4.235362,15.544914,24.473282,0.087623596,35.67067,-11.044586,-40.14600118001303,44.029358,104.28859,0.6
48,63,97.90306,83.39157,120.6823,75.49126,127.73957,115.16839,125.583755,142.81262,84.69081,107.16247,23.637035,111.95391,11.0353155,102.585884,177.11247,65.634155,129.66295,14.532142,2.005546,0.89932203,76.07846,2.7579327,22.779236,31.776817,2.1558151,35.650154,4.791443,-18.05712127685547,49.534233,118.67675,0.6
173,121,105.040504,101.68211,121.28087,60.190628,124.90652,123.41778,124.32516,179.61736,105.71205,154.97337,72.38236,172.33366,54.01487,127.76221,155.23341,66.32928,135.18188,25.520077,1.3987458,0.839408,81.749664,2.6358483,16.240364,21.735664,0.58135986,24.643982,17.36029,-41.21258544921875,57.0885,119.882126,0.6
174,122,110.914825,99.450645,126.1229,74.34686,137.21771,130.14616,124.46951,166.01965,103.624405,163.86977,55.310814,175.84824,45.863823,118.275925,178.03238,94.536156,155.5878,55.74871,1.457044,1.3080134,115.82389,13.558088,15.2080765,30.695518,12.748199,2.149887,11.97847,-50.30328877766928,35.61001,124.665855,0.6
84,60,120.77282,98.171776,147.58234,80.679726,156.47932,137.2055,154.4845,190.26668,128.83334,178.61559,96.35831,207.34122,73.15097,155.90097,199.96088,77.70088,192.99503,55.160954,1.1429335,1.0113387,187.8699,9.459238,26.809517,39.03373,1.9948273,11.651093,28.725632,-36.17353312174478,59.504623,146.4394,0.6
92,58,85.11249,117.3216,93.07306,100.03188,100.55842,135.13522,102.8371,183.4532,84.71355,165.06387,62.00888,185.76141,51.38788,172.3179,113.568405,86.889725,92.63661,73.05943,1.2644132,1.1809294,77.43684,56.553963,7.9605713,17.813622,2.278679,18.389328,20.69754,-5.774932861328125,48.24549,91.80865,0.6
59,37,91.17142,69.41564,115.389915,32.636612,128.7558,117.51317,119.94893,185.31027,103.376854,113.35934,64.50781,145.76012,34.744095,88.96868,167.68529,54.050407,152.93993,9.52659,2.1154647,0.90684175,10.897215,0.21065499,24.218498,48.097527,8.8068695,71.950935,32.40078,-59.17456817626953,63.462765,113.27445,0.6
47,51,97.796005,116.11577,152.61919,51.111324,150.70026,100.40946,145.90312,164.96303,116.06457,152.81403,67.40467,180.9648,31.442339,165.25348,195.78162,48.692486,193.03111,30.681005,2.33945,0.8654991,159.08545,3.0362613,54.82318,-15.706306,4.7971344,12.149002,28.150772,-0.9937947591145928,51.716972,150.27974,0.6
37,30,69.953316,145.26291,140.71344,64.20324,136.83893,158.86084,141.12303,222.36615,86.999466,210.22694,3.6126852,7.3327136,3.3204746,207.26357,200.61107,74.21574,135.54303,17.211868,0.59776497,0.44015896,71.83651,0.23141304,70.760124,13.597931,4.2841034,12.139206,-202.89423,60.62163798014322,84.64511,140.11568,0.6
62,52,128.89618,98.512924,154.94843,59.89634,163.24593,119.05051,160.71277,182.89168,132.59116,139.65771,81.315735,168.57613,56.264427,128.74997,209.0399,69.61759,182.8295,22.925928,1.9930742,0.99658895,153.22687,2.3765354,26.052246,20.537582,2.5331573,43.233963,28.918411,-34.958526611328125,49.432915,152.95535,0.6
99,71,78.46895,125.3008,105.241394,93.37815,110.96579,143.82631,103.344025,198.46242,91.47787,184.1691,56.373432,181.47905,37.76632,97.588394,140.59912,110.151085,144.50395,72.81742,141.98889,38.410408,171.85577,14.287428,26.772446,18.525513,7.621765,14.29332,-2.6900482,-90.44847106933594,33.675224,-36.747498,0.6
60,44,110.03558,131.7088,125.22202,104.37498,142.05757,148.53064,142.3749,195.71729,112.71886,170.64502,88.274605,196.46153,63.420143,161.68686,167.74356,105.198044,137.64333,76.75373,1.0785985,0.6502304,121.18651,19.950672,15.1864395,16.821838,0.31732178,25.072266,25.816513,-25.921091715494782,43.33259,124.143425,0.6
83,70,107.378334,124.270775,116.35292,91.64558,126.9544,148.18227,128.38791,185.6039,120.6794,167.76335,90.01559,178.72694,71.44648,144.90863,154.94815,119.596825,136.24432,86.82232,111.96419,72.44813,94.23267,42.64638,8.9745865,23.911491,1.4335098,17.840546,10.963593,-32.45609537760416,28.585442,4.388733,0.6
44,28,114.114746,63.76615,143.23753,68.30913,156.60628,115.16362,159.40118,166.49054,133.28484,142.00023,83.97056,146.22748,53.597298,102.408714,189.61667,68.678276,153.229,26.051472,1.0956215,0.5728272,131.98598,2.992454,29.122787,51.39747,2.7949066,24.49031,4.227249,-49.164039611816406,46.48535,142.1419,0.6
58,42,129.50461,104.39852,137.0625,89.26582,145.60701,122.213776,150.25984,157.49167,133.81401,144.47633,109.88797,164.46153,91.71225,130.10158,171.05295,85.31398,153.46344,68.837265,17.448463,2.6308079,123.89081,40.95307,7.557892,17.815254,4.652832,13.015335,19.985199,-25.37494405110678,36.899796,119.61404,0.6
88,77,135.20436,105.09878,140.10039,91.22963,180.57329,131.82884,183.85117,172.13417,174.68605,155.31488,130.60155,180.86847,94.23747,132.43121,198.84338,85.7457,172.87367,46.58149,126.755615,52.293434,83.23774,9.272705,4.8960266,26.730064,3.2778778,16.81929,25.553589,-37.00795491536459,46.083145,13.344772,0.6
173,165,96.96345,120.89429,120.58576,76.8593,122.91811,122.59684,116.67023,172.45827,94.35213,161.84276,53.09274,173.10431,36.656097,144.72934,155.30458,84.78129,124.51787,35.181595,1.5152124,0.89812106,113.45974,4.4795084,23.622314,1.7025528,6.2478867,10.615509,11.261551,-24.405771891276032,37.81555,119.07055,0.6
46,38,11.671211,6.2726064,125.25285,51.95123,142.55743,115.25006,142.60965,167.52158,131.27321,145.14851,91.303116,155.00435,66.545425,108.87594,185.07967,76.73551,155.08614,49.085823,1.9665287,1.08437,120.032906,22.901402,113.58164,108.977455,0.052215576,22.373062,9.855835,-47.015541076660156,38.514557,123.28632,0.6
42,42,107.04884,105.42425,111.890816,73.72837,141.37076,100.79704,157.60562,205.00687,127.027405,185.99716,76.698944,208.92229,36.55375,176.93848,167.87265,50.708626,108.927246,37.021908,63.613403,40.449,42.404415,14.438543,4.8419724,-4.627205,16.234863,19.009705,22.925125,-23.036966959635407,50.088417,48.277412,0.6
56,48,121.03743,118.09153,138.89784,94.69621,147.0706,159.88658,138.94746,201.09619,129.56206,193.3025,82.91196,209.64984,64.39952,176.7812,191.11255,106.07309,169.80777,61.93362,1.5480108,1.1987971,172.68404,23.841944,17.860413,41.79505,8.123138,7.793686,16.347336,-24.56830342610678,53.813484,137.34984,0.6
168,152,109.341034,106.104576,116.2739,80.78372,139.8052,125.13648,143.35112,180.53983,128.4413,159.63446,98.57718,165.4926,81.492714,138.00786,158.98483,93.031906,132.5926,74.533424,119.17061,47.46133,125.26741,32.142544,6.932869,19.031906,3.5459137,20.905365,5.858139,-30.547765096028655,32.10458,-2.8967056,0.6
100,55,127.04223,132.54129,134.98299,118.90746,150.82768,146.80014,140.07915,194.17473,122.59442,170.40425,91.5457,189.6173,69.10107,170.05533,182.70146,89.99589,135.71136,62.881325,1.363231,0.77404594,87.7253,19.47418,7.9407578,14.25885,10.748535,23.770477,19.213043,-14.676767985026032,56.804253,133.61975,0.6
76,51,102.845726,105.634384,121.60332,86.76854,127.43547,140.60577,114.58473,202.23787,104.67908,179.2876,79.332375,183.7979,56.098434,144.4333,158.61633,102.76549,137.85593,68.86736,1.4181899,1.0192261,123.72237,14.704012,18.757591,34.97139,12.850739,22.950272,4.5102997,-44.00781758626303,37.840286,120.18513,0.6
58,48,102.40184,120.59573,123.414764,96.877075,142.94539,126.255,144.67003,190.38246,114.10022,163.33606,90.09378,189.59346,62.400238,166.47723,149.15237,77.77727,111.582375,52.41691,5.469337,2.074533,77.93533,9.593473,21.012924,5.6592636,1.7246399,27.046402,26.2574,-14.626749674479157,48.47773,117.94543,0.6
56,37,84.1294,160.49034,117.71011,128.19614,120.48102,156.03539,127.73888,207.57907,6.421027,1.1366458,10.66134,5.710545,26.441603,155.31161,161.65524,131.76135,123.09036,107.6353,2.32785,0.091227174,56.619026,33.574825,33.58071,-4.454956,7.2578583,206.44243,4.5738993,83.83619689941406,24.274033,115.38226,0.6
98,79,88.61907,65.040825,125.96648,76.01719,144.34744,120.66754,144.96652,173.2554,120.7929,129.8603,92.19662,152.02374,75.2874,121.19046,173.92554,79.83845,153.09692,56.42906,0.71572286,0.35815158,127.737915,26.50848,37.347404,55.626717,0.6190796,43.395096,22.163437,-30.522694905598968,40.829094,125.250755,0.6
222,138,81.75764,141.81808,106.341385,106.68963,124.77585,148.49194,122.3622,213.52504,109.1769,174.11292,76.55638,201.1346,61.780518,178.34628,162.1338,137.32437,128.7116,83.22606,84.76709,82.81829,74.90048,48.682785,24.583748,6.6738586,2.4136505,39.412125,27.021683,-17.911224365234375,11.167572,21.574295,0.6
69,108,131.51454,94.09076,155.50966,67.97335,162.58887,101.209946,163.20792,161.4128,134.02606,129.01613,88.34754,147.60141,52.941254,115.43308,207.06349,68.7497,183.67355,34.023136,2.387366,0.7680623,158.46707,4.8376966,23.995117,7.1191864,0.6190491,32.396667,18.585281,-30.577028910319,32.460243,153.1223,0.6
29,33,51.16735,61.64442,94.70454,17.944143,124.36534,60.490936,116.01989,143.65303,60.375507,97.679855,9.582551,117.727806,3.5397615,8.948277,7.5721035,5.081768,4.470632,0.4891593,3.2883708,0.25215226,10.117994,0.39255035,43.537186,-1.1534843,8.345451,45.973175,20.04795,-110.73862234751384,55.40917,91.41617,0.6
78,46,7.518433,4.6369505,165.91763,144.93646,188.21211,177.47285,194.24261,212.93927,166.8146,217.32446,20.141644,5.0864086,132.3523,190.26831,8.170544,7.3189716,217.32162,70.61326,2.5470357,0.036599826,182.65918,48.613358,158.3992,172.8359,6.0305023,-4.385193,-212.23805,45.15160115559897,170.15387,163.37059,0.6
