Index,Name,Hex colour
0,e-0,d82400
1,e-1,d82400
2,e-2,d82400
3,e-3,fcfc00
4,e-4,fcfc00
5,e-5,fcfc00
6,e-6,48b455
7,e-7,48b455
8,e-8,48b455
9,e-9,0090aa
10,e-10,0090aa
11,e-11,0090aa
12,e-12,0090aa
13,e-13,0090aa
14,e-14,0090aa
15,e-15,0090aa
