epoch,training acc.,training loss,val. acc.,val. loss
1,0.7222,0.8543,0.9507,0.1706
2,0.9616,0.1378,0.9436,0.1541
3,0.9714,0.0939,0.9757,0.0712
4,0.9801,0.0693,0.9743,0.0752
5,0.9795,0.0799,0.9743,0.1027
