epoch,training acc.,training loss,val. acc.,val. loss
1 (frozen),0.174,4.6589,0.1779,3.9747
2 (frozen),0.3261,2.7546,0.2414,3.2957
1,0.8242,0.631,0.9421,0.1965
2,0.9832,0.0537,0.9643,0.1296
3,0.9913,0.0269,0.9793,0.076
4,0.989,0.0362,0.9736,0.0881
5,0.9828,0.0603,0.9821,0.1187
